,content,type_text
4178,"Ард иргэд төр засагтаа санал хүсэлтээ шууд илгээдэг болсон нь үнэхээр талархууштай байна. Ургах наран хорооллын 8-р байрны доор модны үйлдвэр ажиллаж байнга хөрөө рам дуугаргаж оршин суугчдын тав тухыг алдуулдаг. Энэ талаар гомдлоо 10 сарын сүүлээр илгээхэд 5 хоногийн дотор (10 сарын 29) холбогдох байцаагч нь ирж уг үйлдвэрийг хууль зөрчиж байгааг нь тогтоогоод, 28-06-231/273 тоот акт үйлдэж, үйлдвэрийн ажлыг хаагаад, торгоод явсан байна. Уг нь их талархууштай. Харин уг үйлдвэр түүнээс хойш 8 хоног өнгөрсөн ч ажилласан хэвээр байна. Оршин суугчдын гомдлыг хүлээн авахгүй байна. Яасан хэрэгжиж болдоггүй хууль вэ???

Үүнийг УБ хотын дарга болон холбогдох удирдлагуудад хүргэж өгнө үү. Мэргэжлийн хяналтын ажилтнууд бол ажлаа хийсэн. Харин уг үйлдвэр нь тоохгүй байна.",Талархал
4206,Алтанхуяг сайд :Нүүрсний үнийг буулгаж өгсөнд талархал илэрхийлье. Талх өргөн хэрэглээний бараа бүтээгдэхүүний үнийг барьж өгнө үү.,Талархал
4299,Шинэчлэлийн ЗГ ажлаа хийж байгаад талархал илэрхийлье. Хот эзэнтэй болсон байдалд иргэд талархаж байна.,Талархал
4312,ШӨХТГ-ын Магнай танд талархал илэрхийлье.,Талархал
4373,magnaig sain ajillaj baigaad bayr hurgie.shantralgui ajillaarai.harin oortee bie hamgaalagch avaarai.muuhai bolson tsag shuu.minii huu,Талархал
4567,МУ-ын төр засгийг АН бүхлээр нь атгалаа их юм хийгээрэй.,Талархал
4718,Шинэ засгийн газарт маш их баярлаж байгаа. Ард түмэн их зүйлийг хүлээж байгаа шүү.,Талархал
4988,"erenhi said tand amjilt huseya amlalt boloh irgen burt ogoh 1 saya yasan be? shudraga baiya geed yariad b,h oorsdoosoo ehlmeer bn",Талархал
5081,"Сайн байна уу би хэдийгээр ардчилсан намын хүн биш боловч Алтанхуяг ,Батүүл, Тэмүүжин  нарын хийж байгаа ажил нь нам гэхээсээ илүү эх орон ард түмнээ гэсэн ажил болж байгаад нь маш их баярлаж байна . Хонгилийн үзүүрт гэрэл гэдэг нь одоол харагдаж байгаа юм шиг сэтгэл өеөг байна . Та бүхий хийж байгаа зүйл ард түмэн бидэнд маш их үгүйлэгдэж байсан юм шүү. амжилт хүсий сайн юманд садаа мундахгүй гэдэг шиг саад бэрхшээлийг даван туулж эх орон ард түмнийхээ төлөө улам ихийг хийгээрэй энэ л хүн болж төрсний гавьяа бахархал байх болно. ",Талархал
5167,Төр түмэн нүдтэй төрсөн бие хоёр нүдтэй.Болдог юм бол болдог юм байна .Гомдол биелэлээ оллоо.Танай төвд баяр хүргье.,Талархал
5361,Нүүрсний үнийг бууруулж хязгаалалт тогтоосон явдалд талархал илэрхийлье.,Талархал
5412,Хан-Уул дүүргийн Яармагын 4-р хорооны иргэд нүүрс тарааж байгаа явдалд талархал илэрхийлмээр байна.Засгийн газрын бүх удирдлагадаа талархал илэрхийлье.Ажлын амжилт хүсье.,Талархал
5417,Гадуур нүүрсний талаар худлаа ярьж байгаа зүйлийг битгий анхаараарай. Цаашид үйл ажиллагаагаа зоригтой явуулаарай. Зориуд ийм сурталчилгаа явуулж байна. Таны явуулж байгаа ажлыг дэмжиж байна.,Талархал
5631,ene uls orniig uurchloh tsag bolson.shinchleliin zasgiin gazart ard tumen naidaj itgej bga. zuv hugjild hurgej chadval ....solongosuud ulsaa hugjuulj chadsan eronhiilochuu shutdeg shig ene ueiin zasgiin gazriig deedlnee... ard tumen,Талархал
5644,Шинэчлэлийн засгийн газрыг дэмжиж байна. Энэ байдлаасаа битгий ухраарай.,Талархал
5648,"Петровис болон Бензин зарагчид С.Баяр, Багабандийн үеэс МАН-д мөнгө хандивлаад Монголд дархан эрхтэй үнийг өсгөж Засаг төрийн шийдвэрийг дураараа зөрчиж блаа. Одоо Алтанхуягийн Засаг тэгэж давруулахгүй янзтай. О.Магнай, Х.Тэмүүжин нарыг Монголын олон нийт дэмжиж юу хийж чаддагийг нь, Чадахыг нь харж сууна. Залуусаа Понопол ба МАН-ы Олигархиудад хуулийг хэрэгжүүлэх ёстойг ойлгуулаад өгөөрэй.",Талархал
5712,Та бүхний ажилд амжилт хүсэе! Үнэхээр монголын ард түмэнд хэрэгтэй шинэчлэл болсон шүү!!!,Талархал
5847,"Боловсролын яамны вэб арай дээрджээ. Гэхдээ Кэмбрижийн сургалтын хөтөлбөр стандарт, Мэргэжлийн англи хэлний стандарт, Дотуур байрны стандартыг хаанаас олж авах вэ? Вэбд эднээс бусад нь байна.",Талархал
5858,"Хан-Уул дүүргийн 2-р хорооны харъяа 65-р цэцэрлэгийн эрхлэгч Б.Баярмаа аргазүйч Т.Болор нарт гүн талархал илэрхийлэе. Манайх 4 хүүхэдтэй бөгөөд манай 2 том хүүхэд маань 65-р цэцэрлэгт хүмүүжиж байсан. Харин бага хоёр ихэр маань дутуу төрсөн бие муутай тул өнгөрсөн жилээс 24 цагийн сувилгааны цэцэрлэгт явж эхэлсэн юм. Гэтэл энэ намар буюу 8-н сарын 19-нд манай нөхөр элэгний хорт хавдраас болж өөд болж би 4 хүүхэдтэйгээ үлдсэн юм. Тухайн үед нөхрөө алдаад сэтгэл санаа муу, мөн ажил явдал гээд 2 ихэр хүүхдээ цэцэрлэгт нь бүртгүүлж амжаагүй билээ. Манай том охин одоо оюутан дунд хүү минь төгсөх анги учраас хичээл ихтэй мөн би ганцаараа ажиллаж байгаа учраас 2 ихрийг минь харах хүн байхгүйгээс цэцэрлэгт явуулхаас өөр аргагүй юм. Маш олон цэцэрлэг хайж, олон ч газраар орж хөөцөлдсөн ч 2 ихэр хүүхэд болхоор авахгүй нэг бол яаху гэсэн хариу хэлж байлаа. Тэглээ гээд ямар 2 хүүхдээ салгаад өөр өөр цэцэрлэгт явуулалтай бишдээ гэж бодон шантарч байтал 65-р цэцэрлэгийн захиргаанаас танай 2 хүүхдийг цэцэрлэгт авлаа гэсэн хариу сонсоод туйлын их баярласан юм. 2 хүүхдээ хараад гэртээ суух, эсвэл нэг хүүхдээ сургуулиас нь түр завсардуулхаас өөр арга үлдээгүй байсан миний байдлыг ойлгон 2 хүүхдийг минь цэцэрлэгт авсан явдалд 65-р цэцэрлцгийн захиргаанд гүн талархал илэрхийлэхийн сацуу 65-р цэцэрлэгийн нийт багш, ажилчидад ажлийн өндөр амжилт хүсье!",Талархал
5868,Засгийн газраас явуулж байгаа хямдралтай иргэдэд тарааж байгаа нүүрсний асуудал маш зүйтэй арга хэмжээ авч байна. Хүмүүс муухай нүүрс гэж хэлж байгаа боловч худал зүйл шүү.,Талархал
5956,Шинэчлэлийн засгийн газрын Нүүрсний үнэ хямдруулсан арга хэмжээ зөв зүйтэй боллоо маш баярлаж байна.,Талархал
6093,Эрдэнэ сайд ирээд явлаа.Бүх хүмүүс сайхан ерөөлийн үгээр үдлээ.Итгэл алдалгүй сайхан ажиллаа.,Талархал
6188,olon jil uulzah geed baraag n harj baigaagyi zobhon zuragtaar hardag baisan darga nar ene zasgiin gazar bidniig hyleen abch uulzan mon uulzah bolj baigaad mach ih bayarlaj bn yneheer shinechlel yabagdaj baigaa n medregdej bn neg gem n huuchin hymyys zoriud sanaatai hymyyst buruu oilgolt ogood baih shig bn,Талархал
6241,ЧД 4-р цэцэрлэгийн багш байна Ерөнхий сайд болон Бат-үүл нарт баярлаж байна. Энэ эрчээрээ ажлаа сайн хийгээрэй.,Талархал
6329,Аймгийн төвүүдийн интернетийн асуудлыг шийдвэрлэж өгч байгаа асуудалд талархал илэрхийлье.,Талархал
6467,shinechleliin zasgiin gazriin ajliin yr dyn medregdej bn arhi uusan sogtuu hymyysiin too ers tsoorch gudamjin dah booljis bagassan bn,Талархал
6497,Green trill ХХК импортын бараа оруулж ирдэг.МХЕГ-т сайн муу бүх зүйл байдаг хэдийч  хилийн МХЕГ Хосбаяр Төгсбаяр нар үнэхээр төрийн албан хаагчид хүний төлөө гэж яаж ажилладаг болдог тэр жишгээр ажлаа хийдэг. Энэ хүмүүс асуудлыг тэр даруйд нь шийдвэрлэж ажлаа үнэн сэтгэлээсээ маш сайн хийж чаддаг.Энэ хүмүүс шиг л төрийн албан хаагчид ажлаа хийдэг болоосой.Цааш нь дамжуулж өгөөрэй.,Талархал
6543,"Сайн байцгаана уу?  БГД-ийн тэргүүний  ""Эрдмийн өргөө"" цогцолбор сургуулийн хамт олон та бүхэнд ажлын өндөр амжилт хүсье. Танай сургуулиас жил болгон зохион  явуулдаг ""Аялагч хүүхэд"" хөтөлбөр бидэнд их таалагдлаа. Манай хүүхэд уг аялалд явснаар эрүүл агаарт гарч хөдөөгийн амьдралтай танилцаж, байгалийн үзэсгэлэнт газраар аялснаар эх орон, гэр бүл, найз нөхдөө гэсэн сэтгэлээр дүүрэн болсон. цаашид энэ хөтөлбөрөө уламжлал болгон явуулж байхыг хүсье. баярлалаа :)",Талархал
6553,Нүүрс олгож байгаа асуудлыг дэмжиж байна.Би химийн мэргэжилтэй хүн Багануурын нүүрс энгийн хэрэглээнд ураны болон цацрагын хордолт багатай байдаг юмаа.Маш хэмнэлттэй байдлаар онд орохнээ талархал илэрхийлье.Хүмүүс сайн муу янз бүрийн байдлаар хандаж байгаа байх гэхдээ Алтанхуяг сайд сайн байна шүү дэмжиж байна.,Талархал
6555,Шинэчлэлийн ЗГ-ын үйл ажиллагааг дэмжиж байна.,Талархал
6558,"Сайн байцгаана уу? БГД-ийн тэргүүний ""Эрдмийн өргөө"" цогцолбор сургуулийн хамт олон та бүхэнд ажлын өндөр амжилт хүсье. Танай сургуулиас жил болгон зохион явуулдаг ""Аялагч хүүхэд"" хөтөлбөр бидэнд их таалагдлаа. Манай хүүхэд уг аялалд явснаар эрүүл агаарт гарч хөдөөгийн амьдралтай танилцаж, байгалийн үзэсгэлэнт газраар аялснаар эх орон, гэр бүл, найз нөхдөө гэсэн сэтгэлээр дүүрэн болсон. цаашид энэ хөтөлбөрөө уламжлал болгон явуулж байхыг хүсье. баярлалаа :)",Талархал
6593,Увс аймгийн иргэд Шинэчилсэн ЗГ-ыг үйл ажиллагааг дэмжиж байна./voicemail/,Талархал
6604,Алтанхуяг ерөнхий сайдтай Шинэчлэлийн Засгийн газрын үйл ажиллагааг дэмжиж байна./voicemail/,Талархал
6607,Шинэчлэлийн Засгийн газрын үйл ажиллагаа болж байна.Улам их зүйл хийгээрэй./voicemail/,Талархал
6983,11 sard 2 odor amraaj ogsond baarlalaa,Талархал
7527,ЧД 5-р хорооны байцаагч Б. Найдансүрэн гэдэг дэслэгч. Асуудлыг түргэн шуурхай шийдэж өглөө. Маш их баярлаж байна. Энэ хүнийг урамшуулж сайшааж шагнаж өгнө үү.,Талархал
7581,Магнайд маш их талархаж байна. Өндөр амжилт хүсье. Бас шинэчлэлийн засгийн газарынханд амжилт хүсье. Ерөнхий сайд Алтанхуяг Магнай хоёр ажлыг яаж сэтгэл зүтгэлтэйгээр сайн хийж чаддагийг харуулж байна. Та бүгдийг ард иргэд маш их дэмжиж байна. Энэ эрчээрээ сайн ажиллаарай. Ерөнхий сайдад. Шударга өрсөлдөөн хэрэглэгчийн эрх ашгийг хамгаалах газрын даргад.,Талархал
7732,unuudur buruugaa oilgoj irgeneesee uuchlalt guisan tsagdaagiin biy bureldehuund talarhal ilerhiiley.,Талархал
7775,Тусгаар тогтнолын өдрөөр төрд улс орныхоо төлөө шударгаар ажилласат төрийн албан хаагчдад МУ-н төрийн хүндэт соёмбо тэмдэг өргөмжлөлийн хамт гардаж хүлээж авлаа. Тийм учраас Засгийн газартаа баярлалаа.,Талархал
7812,Манай нэг дүү нарын асуудлаар хандсан байна эргэж хариу өгсөн. хэлэх үггүй болтлоо баярлаж байна. Өнөөдрөөс ихлээд бүтэн нойртой хонох байхаа. Таньд ажлын өндөр амжилт хүсэе. Бичлэг сонс,Талархал
7858,Сүүлийн үед засгийн газар их юм хийж байна талархаж байгаа шүү.,Талархал
7912,Монгол улсын засгийн газраас тусгаар тогтнолын өдрийг тохиолдуулж төрд олон жил идэвхи зүтгэлтэй ажилсан хүмүүстээ Алтан соёмбо хүндэт тэмдэг өгч байгаад Монгол Улсын засгийн газартаа баярлалаа. /Д/Т-5800/,Талархал
7951,zasagiin gazart bayar hurgie,Талархал
7956,shinechleliin zasgiin gazriin 100 dah honogoor debshyylsen hamgiin onobchtoi ajil mergejliin hyanaltiinhnii bytets zohion baiguulaltiig oorchloh baisan olon saihan ajluud hiih gej baigaad talarhaj bn amjilt,Талархал
8082,Засгийн газрыг дэмждэг хүн. Дэмжиж байгаа ард түмний төлөө ажиллаж байгаад баярлаж байна. Ард түмэнтэй гээ ойр байгаад баярлаж байна.,Талархал
8162,Алтанхуяг сайд ард түмнийхээ дунд орж их зүйл хийж байгаад талархал илэрхийлье.Цаашид ч их зүйл хийнэ гэж найдаж байна.Одоо бидэнд төрийн найдвартай банк хэрэгтэй байна хямд зээл олгодог иргэд амжиргаагаа дээшлүүлэхэд төхөмтэй ийм зээл авах хүсэлтэй байна.,Талархал
8163,Шинэчлэлийн Засгын газрын үйл ажиллагаанд талархал илэрхийлье.Гантөмөр сайд маш зөв зүйтэй зүйл хийж байна. Шинэлэг зүйл хийж байна.,Талархал
8301,AH oron nutgiin songuulid yalalt bguulsand bayrtai bn.Eronxii saidiin Xawtgaid n yallaa gedeg ugnees bolj daxin songuulid baga sanal awlaa.,Талархал
8698,"ХУД-ийн нэгдсэн эмнэлэгийн орлогч дарга Чингэрэл, Тасгийн эрхлэгч Уранчимэг, эмч Оюунгэрэл, Чулуунболор, Оюунчимэг, Соёл-эрдэнэ нар нь эмчлүүлэгч нартай зөв боловсон харьцаж, хүний төлөө гэсэн сэтгэлтэй байна. Мөн энэ эмнэлэг нь эмчилгээ, үйлчилгээ сайтай, гаднаас эм тариа хэрэглэдэггүй эмчлүүлэгч нар нь сэтгэл ханамжтай байна. Энэ хүмүүсийг урамшуулах хэрэгтэй байна.",Талархал
8797,Шинэчлэлийн Засгийн газрыг дэмждэг.Энхбаярыг гаргасан нь дээр байхаа.,Талархал
8933,Засгийн газар өөрчлөлт шинэчлэлт хийж байгаад баярлаж байна. Сайн мундаг сэхээтнүүдээ хөгшин залуу гэлтгүй авч ажиллуулаасай гэж хүсэж байна. Олон жил ажилласан нухлагдсан эх орон ч сэтгэлгээтэй хүмүүс байна ш дээ. Хэдэн малчид бэлчээр байгаль орчноо сайн хамгаалах хэрэгтэй.,Талархал
8993,БГД-ийн Эрдмийн Өргөө сургуулийн хамт олон хүүхдэд ээлтэй олон үйл ажиллагаа явуулдагт маш их талархдаг.  Манай хүүхэд  тус сургуульд сурдаг юм энэ жилээс шатрын дугуйланд яваад маш их сэтгэл өндөр байгаагаа ярьдаг.Шатар нилээн сайн тоглож сурсан  их ч сонирхож хичээллэж байгаагаас гадна олон хүүхдүүдтэй найзалж зан аашны хувьд их нээлттэй  сурлагандаа ахицтай   байгаад бид баярлаж байнаа. сургуулийн шатрын багш нарт нь маш их баярлалаа. Та бүхэнд ажлын өндөр амжилт хүсье,Талархал
9315,Хотын Дарга Бат-Үүлд Shineer setgej tolovlon hiij bui ajluud tani setgel zurhend ih taashaagdan zagtnasan gazar maajih met taalagdaj baigaa shuu Ajilt tani amjiltiig husen yrooy oo Bainga demjij yvdag shuu bayrlalaa,Талархал
9399,"Bat-uul,Magnai nar ajiliig unenxuu sain xiix umaa.Mongoliin ard tumen unexeer ix bayrlaj bgaa.amjilt xusiyeee",Талархал
9445,Боловсролын сайд Гантөмөр зөв шийдвэр гаргасан байна.Талархал илэрхийлье.Бага ангийн багш нарын хүнд байдлыг ойлгосонд баярлалаа./Завхан аймгийн багш нар/,Талархал
9467,СХДүүргийн 26-р хорооны 26-р штабд ажиллаж байсан. Эрдэнэ гишүүнд таньд их баярлаж байна.,Талархал
9483,Эрдмийн өргөө цогцолбор сургуулийн биеийн тамирын багш нарт болон тэдний хамт олонд маш их баярлалаа гэдгээ хэлэхэд таатай байна.Яагаад гэхээр манай хүү энэ сургуульд сурснаар олон арван тэмцээн уралдаанд амжилттай оролцож найз нөхөд болон багш нарынхаа хайрт шавь найз болж чадсаан.Мөн жил бүр эцэг эхийн дунд гар бөмбөгийн тэмцээн зохиож багш эцэг эхийн хоорондын харилцааг улам бүр нээлттэй болгож чадаж байгаад нь баярлаж явдгаа хэлмээр байна.,Талархал
9486,Эрдмийн өргөө цогцолбор сургуулийн биеийн тамирын багш нарт болон тэдний хамт олонд маш их баярлалаа гэдгээ хэлэхэд таатай байна.Яагаад гэхээр манай хүү энэ сургуульд сурснаар олон арван тэмцээн уралдаанд амжилттай оролцож найз нөхөд болон багш нарынхаа хайрт шавь найз болж чадсаан.Мөн жил бүр эцэг эхийн дунд гар бөмбөгийн тэмцээн зохиож багш эцэг эхийн хоорондын харилцааг улам бүр нээлттэй болгож чадаж байгаад нь баярлаж явдгаа хэлмээр байна.,Талархал
